Model,Prompt,Benchmark,Pass@1,Runtime (hours),Avg latency/q,Avg Output tokens
Mistral 3 3B Base,Autonomy,GPQA Diamond,0.298,0.0174,0.31,4
Mistral 3 3B Base,Predicted Optimal,GPQA Diamond,0.2828,0.0912,1.66,25.4
Mistral 3 3B Base,Pressure,GPQA Diamond,0.3232,0.2094,3.81,59.46
Mistral 3 3B Base,Threat,GPQA Diamond,0.3081,0.3398,6.17,97.68
Mistral 3 3B Base,Collapse,GPQA Diamond,0.3182,0.1699,3.09,48.06
Mistral 3 3B Base,Purpose,Global MMLU Lite,0.6325,0.0853,0.76,11.34
Mistral 3 3B Base,Autonomy,Global MMLU Lite,0.655,0.0562,0.5,7.12
Mistral 3 3B Base,Predicted Optimal,Global MMLU Lite,0.6375,0.0834,0.75,11.05
Mistral 3 3B Base,Pressure,Global MMLU Lite,0.6825,0.0667,0.6,8.62
Mistral 3 3B Base,Threat,Global MMLU Lite,0.645,0.0662,0.59,8.55
Mistral 3 3B Base,Collapse,Global MMLU Lite,0.63,0.0606,0.54,7.77
